Proteins
MaxQuant:feature intensity,ass_0,ass_1,ass_2,ass_3,ass_4,ass_5,ass_6,ass_7,SV_config_2,SV_config_1,SV_config_1_L,SV_config_2_H,SV_config_2_L,SV_config_1_H
prot_134,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_135,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,2797700.0,356050.0,460290.0,1915600.0
prot_136,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_137,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,8071300.0,6107100.0,7204200.0,7151200.0
prot_138,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_139,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_140,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,2255600.0,1482600.0,1377600.0,1936200.0
prot_141,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,791020.0,0.0,0.0,446780.0
prot_142,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_143,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_144,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_145,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_146,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_147,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,5322300.0,2701200.0,3152800.0,4492800.0
prot_148,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_149,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,4707900.0,1743000.0,1662800.0,2891300.0
prot_150,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_151,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_152,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.0,305140.0,435990.0,0.0
prot_153,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_154,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_155,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_156,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,4.518E7,1.8499E7,2.1972E7,5.1151E7
prot_157,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_158,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1305100.0,430060.0,732750.0,1105300.0
prot_159,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_160,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_161,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_162,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,2093100.0,2144900.0,2320400.0,2397000.0
prot_163,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_164,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_165,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_166,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,2607200.0,763340.0,961260.0,1976800.0
prot_167,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_168,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_169,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_170,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_171,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_172,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_173,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,338890.0,0.0,0.0,253630.0
prot_174,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,2.4741E7,4151400.0,4532900.0,1.0965E7
prot_175,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,346760.0,0.0,0.0,150610.0
prot_176,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_177,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_178,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_179,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_180,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_181,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1.3754E7,9827300.0,1.3716E7,1.0463E7
prot_182,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,2.2113E7,1.2101E7,1.622E7,1.4297E7
prot_183,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_184,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1.3966E7,8257200.0,9228100.0,1.3569E7
prot_185,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,229710.0,57723.0,82452.0,168150.0
prot_186,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_187,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_188,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_189,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_190,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_191,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3333000.0,1.3918E7,2449200.0,2654000.0
prot_192,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_193,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_194,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_195,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_196,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_197,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_198,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_199,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_200,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1.2682E7,8725100.0,9156000.0,9550300.0
prot_201,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1019400.0,0.0,0.0,809340.0
prot_202,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_203,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_204,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,8063700.0,3842900.0,3687600.0,9066400.0
prot_205,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_206,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_207,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1372900.0,435370.0,574560.0,1055400.0
prot_208,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1.8215E7,9440100.0,1.0247E7,1.2467E7
prot_209,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.0,0.0,0.0,0.0
prot_210,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,271020.0,0.0,0.0,205560.0
prot_211,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_212,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_213,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_214,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1831100.0,0.0,0.0,1720600.0
prot_215,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_216,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_217,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_218,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3392600.0,3414500.0,3796300.0,3109900.0
prot_219,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,2387800.0,1676300.0,2442100.0,2414900.0
prot_220,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_221,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,435220.0,302830.0,397590.0,354300.0
prot_222,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_223,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3.2507E7,2.3831E7,3.0454E7,3.2809E7
prot_224,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,9870100.0,2401600.0,3111600.0,7741600.0
prot_225,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_226,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,2896400.0,1163700.0,2070200.0,3092100.0
prot_227,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.0,256460.0,558380.0,0.0
