Intensity puf3a	Intensity puf3b	Intensity puf3c	Intensity puf3d	Intensity puf3e	Intensity wta	Intensity wtb	Intensity wtc	Intensity wtd	Intensity wte	Only identified by site	Reverse	Contaminant	t-test Significant	PEP	Intensity	Unique peptides	Unique peptides puf3a	Unique peptides puf3b	Unique peptides puf3c	Unique peptides puf3d	Unique peptides puf3e	Unique peptides wta	Unique peptides wtb	Unique peptides wtc	Unique peptides wtd	Unique peptides wte	Sequence coverage [%]	Peptide IDs	Sequence coverage puf3a [%]	Sequence coverage puf3b [%]	Sequence coverage puf3c [%]	Sequence coverage puf3d [%]	Sequence coverage puf3e [%]	Sequence coverage wta [%]	Sequence coverage wtb [%]	Sequence coverage wtc [%]	Sequence coverage wtd [%]	Sequence coverage wte [%]	-Log t-test p value	t-test Difference	Protein IDs	Majority protein IDs
#!{Type}E	E	E	E	E	E	E	E	E	E	C	C	C	C	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	T	T
#!{C:Group1}puf3	puf3	puf3	puf3	puf3	wt	wt	wt	wt	wt																																	
21.52865	21.74316	21.45041	18.62392	21.8254	21.21241	21.21508	21.47714	20.87395	21.69867					4.7486E-05	26226000	1	1	1	1	0	1	1	1	1	1	1	6.1	7196	6.1	6.1	6.1	0	6.1	6.1	6.1	6.1	6.1	6.1	0.163842169132672	-0.261142730712891	YDR441C	YDR441C
31.14971	31.01005	31.2247	31.43465	31.3263	30.7411	30.93115	30.97958	30.80085	30.70767				+	5.5316E-139	22233000000	9	9	9	7	9	8	8	8	7	7	8	54.4	NaN	54.4	54.4	53.7	54.4	54.4	54.4	47.1	47.1	47.1	54.4	2.64491975919525	0.39701156616211	YML024W;YDR447C	YML024W;YDR447C
31.17558	31.08347	31.47687	31.29707	31.60267	30.69777	30.65019	30.77164	30.89012	31.00725				+	1.0637E-115	22997000000	11	10	9	10	10	9	8	9	8	10	9	64.4	NaN	64.4	59.6	64.4	64.4	59.6	56.2	63.7	58.9	63.7	59.6	2.72076515848846	0.523739624023435	YML026C;YDR450W	YML026C;YDR450W
21.276	21.48974	22.67924	20.3445	20.2913	20.58003	20.98808	20.9941	20.78485	19.05597					1.9179E-11	19743000	4	1	1	2	0	0	1	1	1	1	0	6.4	NaN	1.3	1.8	3.3	0	0	1.3	1.3	1.3	1.3	0	0.633394880398069	0.735547256469726	YDR452W	YDR452W
29.2486	29.22637	29.32243	28.24731	29.36724	28.3827	28.15682	28.92697	27.8925	28.85299					4.488E-145	4842000000	10	7	6	7	7	10	6	7	7	9	5	61	NaN	46.5	40.1	44.9	44.9	61	46	40.6	46.5	55.1	40.1	1.23679644018268	0.639992141723631	YDR454C	YDR454C
21.56058	18.44441	24.62762	21.30316	22.02313	21.8546	20.0099	19.59012	20.55338	21.74152					6.0451E-30	43169000	7	1	0	2	0	1	2	1	0	1	2	2.6	NaN	0.4	0	0.8	0	0.4	0.8	0.4	0	0.3	0.7	0.337279570241989	0.84187545776367	YDR457W	YDR457W
24.29186	23.99335	22.07398	23.57565	21.85346	22.99459	21.60865	22.0792	22.7229	23.42534					3.6334E-24	92118000	5	5	3	1	2	1	2	1	1	2	2	17.2	NaN	17.2	10.4	5.3	7.5	5.3	7.5	2.2	5.3	7.5	7.5	0.454683066136587	0.591524124145508	YDR465C	YDR465C
23.11146	21.68723	22.30897	21.36997	22.1128	19.70306	22.35275	21.31335	21.45719	22.35555					1.1025E-28	41088000	2	2	1	1	1	1	0	2	1	1	2	16	NaN	16	6.9	6.9	6.9	9.1	0	16	9.1	6.9	16	0.576583168339832	0.681704330444337	YDR469W	YDR469W
29.71985	29.61486	29.39736	29.69972	30.37938	29.21329	29.08043	29.41288	29.13638	29.98821					2.9306E-85	8242100000	7	6	6	4	6	6	6	5	6	5	6	50	NaN	44.9	44.9	38.2	44.9	49.3	44.9	38.2	44.9	38.2	50	0.892689165043601	0.395994186401367	YHR010W;YDR471W	YHR010W;YDR471W
20.44647	18.64609	20.97897	21.52535	20.99466	20.001	20.15795	20.35982	21.1128	21.34619					2.8236E-22	17102000	4	1	0	1	2	1	1	1	1	2	1	15.9	NaN	4.6	0	4.6	8.5	4.6	4.6	4.6	4.6	8.1	3.9	0.0483119911661865	-0.0772438049316406	YDR472W	YDR472W
21.12433	24.56848	23.67357	24.10061	25.27789	21.92926	21.49673	24.00445	19.42019	23.54227					4.5299E-30	135210000	8	1	4	2	3	5	2	2	1	0	2	17.7	NaN	2.5	8.8	5.2	5.8	9.2	5.5	5.5	1.7	0	3.8	0.794904518628467	1.67039947509766	YDR477W	YDR477W
22.17743	23.26241	23.28164	23.38113	22.37941	22.8789	22.3921	21.84644	20.24063	22.32861					4.0011E-29	64877000	4	1	3	3	2	2	2	1	1	1	2	17.2	NaN	7.7	12	15.6	10.4	7.9	10.4	7.7	7.7	2.7	10.4	0.986817976753894	0.959070205688477	YDR483W	YDR483W
19.24106	22.31642	20.50019	22.00751	22.67385	22.26525	21.6277	22.0174	21.16503	22.50775					4.7227E-22	36972000	1	0	1	0	1	1	1	1	1	1	1	8.7	5274	0	8.7	0	8.7	8.7	8.7	8.7	8.7	8.7	8.7	0.365329072628064	-0.568818283081054	YDR486C	YDR486C
26.31833	25.80373	26.55129	25.32358	26.4464	26.23178	23.97141	26.30426	24.19858	25.0026					3.51E-70	605010000	11	6	4	5	4	5	5	2	7	3	3	46.2	NaN	33.2	23.6	26.9	19.7	27.4	26.9	9.6	27.9	15.4	15.4	0.924942610221783	0.946938705444335	YDR487C	YDR487C
25.8479	25.54304	26.27567	24.24256	25.02196	24.80853	25.0493	25.43698	24.69615	24.40269					7.0255E-58	403330000	7	5	5	5	2	3	4	4	4	4	3	11.6	NaN	8.8	8.1	8.8	3.4	5.2	7.3	7	7	6.7	4.4	0.63509197939293	0.507494354248045	YDR496C	YDR496C
26.31463	25.91582	25.02998	23.63987	23.38588	24.76684	25.07729	25.04614	25.7062	21.36303					7.5699E-35	361090000	4	4	2	2	2	1	2	2	2	3	1	52.3	NaN	42	20.5	21.6	23.9	13.6	21.6	20.5	13.6	29.5	12.5	0.190685175172641	0.465334701538087	YDR500C	YDR500C
27.63305	27.54878	27.99766	27.57413	28.43118	27.34469	26.80735	25.94107	26.88704	27.79191				+	1.259E-182	1943000000	9	6	6	5	5	6	4	3	3	7	7	48.4	NaN	35.9	38.8	38	31.8	38.8	35.7	33.3	30.5	48.2	44.3	1.43692958109044	0.882544326782227	YDR502C	YDR502C
21.68205	22.13192	21.7099	22.09574	22.01366	21.72347	19.60877	19.85913	20.67645	20.91541				+	1.3131E-44	24521000	4	1	2	1	2	2	3	0	1	1	0	4.7	NaN	1	2.3	1	2.3	2.2	3.9	0	1.3	1	0	2.08890907884785	1.3700065612793	YDR507C	YDR507C
22.12253	21.95316	22.19364	21.24377	22.63806	19.80782	21.33968	21.1135	17.32715	17.56772				+	9.6407E-28	27356000	1	1	1	1	1	1	0	1	1	0	0	2.4	8753	2.4	2.4	2.4	2.4	2.4	0	2.4	2.4	0	0	1.73341015581071	2.59905624389648	YDR508C	YDR508C
27.32723	26.99938	25.18537	25.33964	27.40795	26.65663	26.87079	26.99259	26.87103	27.04552					1.4073E-30	1184500000	5	4	2	1	2	3	3	3	2	3	3	72.3	NaN	65.3	32.7	21.8	28.7	54.5	39.6	39.6	32.7	39.6	35.6	0.392320903952912	-0.435398864746094	YDR510W	YDR510W
26.81384	26.72793	24.95473	26.82881	22.96153	25.95451	26.46963	26.15946	25.95449	26.65198					9.0353E-38	792390000	6	4	4	4	5	1	2	5	3	4	3	38.5	NaN	25.9	25.9	26.6	33.6	9.8	16.8	38.5	25.2	33.6	21.7	0.323202243290912	-0.580644226074217	YDR513W	YDR513W
21.14015	21.74398	23.08112	19.24236	20.33022	20.94921	22.94901	18.88369	22.69833	22.47773					1.366E-17	37466000	5	1	2	1	0	0	1	2	0	2	2	13.2	NaN	4.8	6.6	4.8	0	0	2.8	3.8	0	6.2	3.8	0.193010748687369	-0.48402633666992	YDR516C	YDR516C
22.02776	22.19412	21.09661	18.3384	21.72866	18.63471	20.85214	21.48758	18.00414	22.69132					1.1592E-08	24505000	3	1	1	1	0	1	0	0	1	0	2	8.3	NaN	1.9	1.9	3.5	0	1.9	0	0	1.9	0	4.8	0.276282262777027	0.743132781982421	YDR517W	YDR517W
25.3585	26.26803	26.04768	23.72713	25.62962	25.14422	25.06324	25.24231	25.02301	25.75753					2.2298E-30	461640000	4	3	3	4	1	2	4	3	3	3	3	26.7	NaN	17.8	16.3	26.7	6.7	15.6	26.7	16.3	16.3	16.3	16.3	0.130147914747643	0.16013069152832	YDR519W	YDR519W
24.09257	23.42598	24.23958	24.80666	25.47633	21.84659	22.85163	22.85441	22.1321	22.96307				+	4.2556E-51	156690000	6	4	4	4	2	3	2	2	3	1	3	31.2	NaN	23.2	21.9	23.2	11	18.1	13.9	11	18.1	4.2	18.1	2.72543829716672	1.878662109375	YDR533C	YDR533C
22.81178	22.52745	21.21442	22.09584	22.34489	21.86397	22.06411	21.87688	19.90012	21.52664					1.2048E-09	41703000	4	2	2	1	2	2	1	2	2	1	1	12.5	NaN	8.3	8.2	6	8	8.3	6	8.3	8	2.4	6	0.8063927935014	0.752534484863283	YDR539W	YDR539W
20.06995	24.20903	21.43935	23.52397	19.51811	20.9517	21.84999	20.74641	20.82089	23.7684					0.00087313	53404000	2	0	1	0	1	0	1	1	0	1	2	4.2	NaN	0	2.1	0	2.1	0	2.1	2.1	0	2.1	4.2	0.0402320513941282	0.124604415893554	YEL002C	YEL002C
23.58233	23.3181	24.30515	22.43522	23.44884	22.29712	23.03862	23.08628	23.06133	20.29367					7.0835E-07	93582000	2	1	1	1	1	1	1	1	1	2	1	17.1	NaN	8.1	8.1	8.1	8.1	8.1	8.1	8.1	8.1	17.1	9	0.914062008898581	1.06252517700196	YEL003W	YEL003W
18.10502	18.79433	19.42047	22.33364	19.55436	22.67876	21.84705	21.26293	19.31422	20.94357					5.0442E-17	18288000	3	0	0	0	1	0	2	2	1	0	0	8.2	NaN	0	0	0	2.5	0	4.4	5.6	3.8	0	0	0.907556278768703	-1.56774520874023	YEL015W	YEL015W
24.60688	20.87474	23.34746	23.20166	23.78945	22.17026	22.52581	17.39282	21.93301	22.91039					6.5819E-36	83015000	2	2	0	1	1	1	1	1	0	1	1	31	NaN	31	0	16.1	14.9	16.1	14.9	14.9	0	14.9	16.1	0.762004258043143	1.77758140563965	YEL020W-A	YEL020W-A
21.35568	21.74481	18.53488	22.95729	22.71618	22.59846	22.46909	22.63929	20.66978	22.33794					9.5738E-62	46891000	3	1	1	0	2	2	1	2	3	1	2	3.2	NaN	1.4	1.4	0	2.5	2.5	1.4	2.5	3.2	1.4	2.5	0.339485604004975	-0.681144332885744	YEL022W	YEL022W
24.90848	25.4098	25.09342	26.12345	24.51569	26.52355	26.28637	24.59616	24.51827	24.82891					6.7642E-63	466460000	4	2	2	2	3	1	3	4	2	2	2	50	NaN	25.4	13.5	25.4	32.5	7.9	32.5	50	25.4	25.4	13.5	0.101928484687192	-0.140486145019533	YEL026W	YEL026W
18.66606	21.20759	20.37241	21.52497	21.16981	20.91809	17.53722	20.71725	19.85297	21.03557					0.00084288	15011000	1	0	1	1	1	1	1	0	1	0	1	11.2	9563	0	11.2	11.2	11.2	11.2	11.2	0	11.2	0	11.2	0.293664162398338	0.575949096679686	YEL027W	YEL027W
23.02093	29.85823	30.0414	29.56355	29.80375	29.24762	29.42836	29.43926	29.89064	29.88125					5.4752E-45	7889400000	10	3	6	2	4	4	3	3	3	2	3	12.7	NaN	4.4	7.2	1.8	4.3	4.9	4.5	3.5	3.7	2.3	3.7	0.359951096245988	-1.11985626220703	YEL032W	YEL032W
30.14504	29.50554	30.24841	29.98536	30.4609	29.32798	29.745	29.61938	29.61518	29.44814				+	5.6224E-269	9719000000	9	7	8	6	7	7	7	6	7	8	8	59.9	NaN	54.8	54.8	49.7	54.8	54.8	54.8	49.7	54.1	59.9	54.8	1.7245862798162	0.517915725708008	YEL034W;YJR047C	YEL034W
26.36393	24.85695	26.82675	25.32234	25.83094	23.69721	26.03946	25.64551	25.62386	24.93634					7.4572E-116	556300000	8	6	4	6	5	4	3	6	6	6	4	26.6	NaN	20.9	12.8	18.6	17.1	17.1	11.6	20.9	20.9	20.4	16.1	0.578008461744256	0.651704406738283	YEL037C	YEL037C
24.79164	23.01684	22.93463	23.30299	24.20023	23.91488	23.26385	23.69126	23.16286	20.87425					1.6035E-22	125920000	5	3	1	1	1	2	4	2	2	2	1	22	NaN	15	7	4.4	7	11.5	16.7	11.5	11.5	11.5	7	0.471853399044552	0.667844772338867	YEL038W	YEL038W
25.00432	24.09047	23.82094	24.41474	25.48708	24.38561	24.95456	24.30027	24.41151	22.55119					4.9128E-70	239280000	7	3	3	2	3	5	4	6	4	4	1	18.3	NaN	8.5	8.5	6.8	8.5	12.5	10.2	16.2	10.2	10.2	1.7	0.387253845054603	0.442882156372068	YEL042W	YEL042W
28.75824	28.65003	28.76825	28.51281	28.61772	28.33565	28.19995	27.88122	28.3043	28.49492				+	4.8341E-133	3731500000	13	10	9	8	10	8	10	7	11	9	10	45.7	NaN	35.7	34.6	29.2	38.8	28.2	37	27.6	40.1	32.8	37	2.22811116573749	0.41820411682129	YEL046C	YEL046C
26.95638	26.23109	27.98218	28.21443	28.04302	27.20937	27.07357	27.48738	26.26164	27.41038					6.5085E-153	1805500000	19	4	4	8	13	11	4	8	9	6	7	47.9	NaN	7.7	13	20.4	33.8	31.3	8.5	22.3	28.7	22.3	24.7	0.403227321987426	0.396947479248048	YEL047C	YEL047C
20.35198	21.85369	20.73008	18.543	24.70393	19.66341	21.29614	21.24278	18.81118	20.70978					1.963E-19	39630000	3	0	1	1	0	2	0	1	1	0	1	13.7	NaN	0	6.6	6.6	0	9.4	0	4.3	4.3	0	6.6	0.345657257948053	0.891877365112304	YEL051W	YEL051W
24.13265	23.50628	22.82443	23.38205	23.17582	22.91672	23.55544	23.25364	23.63434	21.03134					5.8643E-44	103560000	9	4	2	2	1	3	1	3	4	6	1	10.5	NaN	4.5	2.3	2.3	1	3.7	1.1	3.5	4.9	6.6	1.5	0.461156233074584	0.525950622558597	YEL055C	YEL055C
21.89086	22.39428	22.06359	18.69339	22.80558	21.42777	21.60811	21.92665	21.46752	20.07467					4.7468E-17	34019000	1	1	1	1	0	1	1	1	1	1	0	3.2	1481	3.2	3.2	3.2	0	3.2	3.2	3.2	3.2	3.2	0	0.127096798352271	0.268590927124023	YEL056W	YEL056W
25.96237	26.00915	24.60563	26.24238	25.9822	25.22255	25.22711	25.56779	25.47277	25.358					1.1395E-132	521850000	12	7	8	5	7	11	8	8	7	6	7	26.6	NaN	16.7	18.5	11.5	18	24.6	21.5	18	18.1	14	18	0.637946715821087	0.390703964233399	YEL058W	YEL058W
20.97505	22.56591	18.73532	22.76965	22.73999	20.40312	22.21054	20.91225	22.98402	20.17941					4.7716E-22	38936000	4	1	2	0	2	1	1	1	1	2	0	7.9	NaN	1.4	4.6	0	4.6	1.4	1.9	2	1.9	3.9	0	0.0844682790865561	0.219317626953124	YEL060C	YEL060C
28.42198	28.87464	29.03249	28.66736	28.78781	28.3274	28.44	28.82554	27.53089	28.25903					9.667E-141	3982500000	18	11	14	12	10	11	15	11	11	10	10	49	NaN	36.1	42.9	35.5	33.1	34.5	45	33.7	33.5	28.2	31.9	1.12768706450402	0.48028564453125	YEL071W	YEL071W
27.81262	28.24608	27.80931	28.29706	28.51792	27.35607	27.6001	28.07638	27.51435	27.84038				+	2.0865E-143	2593800000	10	7	7	5	7	9	6	6	7	7	5	28	NaN	20.3	20.3	14.9	20.3	26.1	16.8	17.7	21.2	19.6	15.4	1.38191493986097	0.459143066406249	YER003C	YER003C
21.78397	20.23097	22.21285	22.86321	19.35726	21.6206	21.42639	21.95677	21.51094	21.83519					1.5431E-09	32945000	2	1	0	1	2	0	1	1	2	2	2	10.8	NaN	6.5	0	6.5	10.8	0	6.5	6.5	10.8	10.8	10.8	0.237764117538127	-0.380326461791991	YER004W	YER004W
26.04658	26.32689	25.40324	26.4092	26.73312	25.29463	25.9018	25.57378	25.50349	25.77347				+	3.3241E-156	657240000	17	7	8	6	7	7	5	7	7	6	7	40.8	NaN	16.9	22.3	17.9	19.8	19.2	16	17.1	20.4	16.7	20.6	1.3110035579007	0.57437171936035	YER006W	YER006W
25.70256	23.853	24.60003	23.34692	23.82046	23.71848	22.56684	23.84852	23.69583	22.62453					2.3967E-14	175850000	3	3	2	2	1	1	2	1	2	2	1	17.7	NaN	17.7	12.7	12.7	6.6	6.1	12.7	6.6	12.7	12.7	6.1	1.05688136526447	0.973754501342775	YER007C-A	YER007C-A
28.45501	28.74727	27.85591	28.76148	27.73899	28.15499	28.20676	28.23453	28.38833	28.67801					3.6378E-121	3445900000	3	3	3	2	3	2	3	3	3	3	3	25.6	NaN	25.6	25.6	19.2	25.6	19.2	25.6	25.6	25.6	25.6	25.6	0.0304108618887718	-0.0207939147949219	YER009W	YER009W
22.12146	19.35014	22.19895	20.80396	19.73789	22.75851	22.52399	20.77462	20.70818	19.00646					6.399E-07	24217000	2	1	0	1	0	0	1	1	0	1	0	11.1	NaN	7.3	0	7.3	0	0	7.3	7.3	0	3.8	0	0.131421389894611	-0.311874389648438	YER010C	YER010C
22.05831	23.07842	24.43059	23.89171	25.5717	23.55719	22.05019	23.79491	20.89119	22.37427					3.0546E-11	139890000	3	1	1	2	2	3	2	1	2	1	1	13.6	NaN	4	4	9.6	9.6	13.6	9.6	4	9.6	4	4	0.827242823086564	1.27259254455566	YER012W	YER012W
23.28037	18.45336	22.98449	20.15085	20.55922	25.27775	25.22902	19.90419	25.46678	23.45111					0.0013325	156330000	1	1	0	1	0	0	1	1	0	1	1	1.7	6743	1.7	0	1.7	0	0	1.7	1.7	0	1.7	1.7	1.09170997969904	-2.78011207580566	YER014W	YER014W
25.42227	24.69179	26.11597	25.0783	25.82765	24.6408	25.24205	25.45306	24.99066	25.23604					1.9475E-143	424400000	14	7	6	7	6	5	4	6	7	7	6	31.2	NaN	17	14.3	13	13.4	10.5	9.4	16.4	14.7	18	14.7	0.509201513589011	0.314670562744141	YER021W	YER021W
27.19676	27.14014	27.486	27.32346	27.69611	26.3901	27.16576	25.97014	26.73944	26.66411				+	2.8606E-45	1397700000	6	4	4	4	5	4	3	5	1	4	4	22.7	NaN	15.4	17.1	16.4	19.6	17.1	12.2	19.6	5.2	17.1	17.1	2.10573399400567	0.782585525512697	YER023W	YER023W
28.57517	28.26785	28.57524	28.42166	29.12152	27.78588	28.09512	27.39722	27.91547	27.8936				+	0	3264100000	20	15	13	14	11	15	12	14	12	11	12	44	NaN	34.9	33	32.3	27.9	34	27.9	33.4	28.8	26.4	28.5	2.51526733492223	0.774832916259765	YER025W	YER025W
21.29133	20.15273	22.50824	19.25725	22.81681	21.4837	21.11902	20.9356	19.05338	20.03502					5.9414E-98	21114000	3	0	0	2	0	1	1	1	2	1	0	28.8	NaN	0	0	9.8	0	7.2	19	19	26.1	7.2	0	0.372220183368038	0.679927062988281	YER030W	YER030W
24.33545	24.06102	24.65332	24.38943	24.92175	23.69456	23.72744	23.3672	23.63378	24.65201				+	8.5073E-92	196480000	7	3	3	3	4	3	3	3	3	3	5	36.3	NaN	17	17	17	23.3	16.6	17	17	16.1	17	26.9	1.43030651308695	0.657195663452146	YER031C;YGL210W	YER031C;YGL210W
27.34164	27.55699	27.27275	27.75385	28.05118	27.14355	27.43897	27.31173	25.99697	27.5087					2.0385E-234	1788900000	15	10	10	7	8	11	9	8	10	7	8	29.5	NaN	21	20.7	13.8	18.2	23	19.2	18.7	21.6	15.2	14.4	0.862788803666133	0.515300750732422	YER036C	YER036C
19.27204	22.69683	22.63105	22.69271	24.17501	21.80923	21.37846	22.41336	23.46151	22.95216					5.2579E-14	70667000	3	0	1	2	1	2	1	1	2	3	1	16.8	NaN	0	4.3	12	4.3	9.2	4.3	4.3	12	16.8	4.3	0.0431375541958682	-0.109417724609376	YER042W	YER042W
31.15708	31.38355	31.08746	31.39458	31.44391	31.01817	30.83123	31.45856	31.35899	31.52617					0	26105000000	26	18	20	17	18	17	18	19	20	21	20	49.9	NaN	35.9	42.1	35.6	34.3	35.2	35.6	42.8	38.5	42.8	40.8	0.137691442454209	0.0546951293945313	YER043C	YER043C
24.467	24.36386	24.46364	25.12041	25.26907	23.45425	23.85738	24.08797	23.83663	24.79887				+	5.2316E-40	233520000	6	1	2	3	2	3	1	2	2	2	2	22	NaN	3.6	7.2	13.3	7.9	12	3.6	7.9	5.6	7.9	7.9	1.43084745175963	0.729773712158206	YER048C	YER048C
23.406	23.42406	18.88265	22.27997	24.74139	22.43403	24.19039	24.0192	18.45751	18.54276					1.5446E-15	97323000	3	2	1	0	1	3	2	3	3	0	0	28.7	NaN	19.1	9.6	0	11.7	28.7	19.1	28.7	28.7	0	0	0.262445284830329	1.01803855895996	YER048W-A	YER048W-A
24.89009	26.13379	25.65575	26.59106	26.61217	25.16327	24.19813	25.3509	24.40048	25.2386				+	7.9899E-72	522610000	15	5	8	8	8	8	4	4	8	5	4	30.7	NaN	12.7	18.8	17.7	19.6	19.3	11.6	10.1	18.5	11.5	8.5	1.60736041307753	1.106298828125	YER049W	YER049W
26.56079	26.52461	26.40111	23.20738	26.91274	25.79196	21.66262	25.84441	23.53481	24.02098					3.0764E-68	571020000	10	5	3	5	2	8	4	1	4	2	4	23.1	NaN	12.3	7.2	10.6	7.2	19.9	10.8	3.6	11.2	5.7	9.5	0.886602115401655	1.75037040710449	YER052C	YER052C
27.71201	27.69179	27.81958	27.96102	27.38599	26.99809	26.89851	27.51277	26.89319	27.68819				+	2.5229E-75	1901800000	12	7	7	7	8	5	6	6	7	6	6	37	NaN	24.9	25.6	22.6	25.6	17.5	17.5	21.5	25.3	21.2	22.6	1.55279703247009	0.515929031372071	YER055C	YER055C
29.10265	29.02733	28.93871	29.00241	28.99137	28.77332	28.63	28.68385	28.63326	27.9501				+	1.368E-10	4690700000	3	3	2	2	2	2	2	2	2	2	1	25.6	NaN	25.6	19.8	19.8	19.8	19.8	19.8	19.8	19.8	19.8	14	1.88282686723198	0.47839012145996	YIL052C;YER056C-A	YIL052C;YER056C-A
26.67842	25.7718	27.37824	26.70121	26.80956	25.69965	26.63159	26.09792	25.37577	24.8008				+	1.732E-69	868910000	6	3	4	4	2	3	3	5	4	2	3	62.8	NaN	37.2	48.8	37.2	27.9	41.9	37.2	62.8	44.2	27.9	39.5	1.32579196395169	0.946699142456055	YER057C	YER057C
25.14351	24.95797	25.0192	23.59787	25.39316	24.92963	24.90463	23.76172	23.53315	24.77721					1.2391E-58	278900000	6	4	3	3	2	3	3	4	3	4	3	46.4	NaN	39.2	30.8	33.6	30	29.6	26.4	36.4	35.6	39.6	24.8	0.465462401126805	0.441076660156252	YER062C	YER062C
23.61773	21.54835	22.63445	23.91834	24.05109	21.9315	22.39333	20.00911	24.92809	19.02196					1.1457E-07	97118000	4	2	1	1	2	2	1	2	0	2	0	15.1	NaN	6.9	3.2	3.2	7.8	6.9	3.2	6.9	0	7.3	0	0.655843418543602	1.4971939086914	YER063W	YER063W
21.91882	19.79496	22.58204	22.3202	23.26413	19.1874	18.95131	19.55024	19.06918	22.53129				+	8.1779E-43	34037000	3	2	0	2	2	3	1	1	1	1	1	6.3	NaN	4.6	0	4.1	4.6	6.3	2.4	2.4	2.4	2.4	2.2	1.34113968885219	2.11814498901367	YER068W	YER068W
24.70525	25.1831	24.32162	24.64251	24.97417	24.13923	24.49954	24.73898	24.0573	24.17615					5.0283E-87	252170000	10	6	5	4	3	5	5	6	7	6	3	16.9	NaN	10.9	9.2	6.8	5.3	7.6	9.2	9.8	11.8	10.8	5.3	1.27477008703411	0.443089675903323	YER069W	YER069W
26.69299	26.37494	26.61091	26.21145	27.38747	26.11947	26.40808	26.37292	25.74509	26.43239					2.8362E-205	946940000	18	8	7	8	7	9	6	6	10	6	7	27.7	NaN	12.8	10.8	12.3	14.5	17.2	10.7	14.1	15.8	9.9	11.4	0.981114383793075	0.439961242675782	YER070W;YIL066C	YER070W
26.52546	26.11235	26.47658	26.96433	26.79934	26.03442	26.53598	26.47375	25.98079	26.60343					1.9331E-189	937650000	15	9	7	6	7	7	8	10	8	9	8	34.6	NaN	22.1	15.6	15	19	17.7	19.4	25.4	19.6	21.5	18.1	0.619924354411975	0.249940872192383	YER073W	YER073W
28.9157	28.82693	29.50667	29.63514	29.4953	28.2896	28.20602	29.07567	28.8252	29.80246					9.7206E-49	5951400000	10	8	7	6	7	6	6	6	6	5	7	57	NaN	40	39.3	34.8	34.8	28.1	29.6	28.1	39.3	28.1	34.8	0.639105284498734	0.436159896850587	YIL069C;YER074W	YIL069C;YER074W
23.46513	27.76768	24.9904	24.81729	25.93141	24.32375	22.69543	23.24125	24.87235	24.42803					5.8002E-69	457970000	13	4	6	5	3	6	4	2	3	4	4	25.4	NaN	7.8	12.8	10	4.8	11.3	7.8	3.3	5.6	6.5	7.8	0.966342366958134	1.48222198486328	YER080W	YER080W
21.62091	21.34673	22.53521	21.1194	23.43873	19.94306	18.20726	18.8341	20.841	19.82168				+	2.7402E-103	28505000	4	1	1	2	1	2	1	0	0	2	1	30.3	NaN	17.9	19.2	22.4	19	14.9	11.3	8.5	10.4	16.2	14.1	2.37176885939415	2.48277778625488	YER081W	YER081W
27.5291	27.56245	27.18206	27.54311	27.18187	26.48554	26.93876	26.58864	26.65157	26.72182				+	5.5523E-222	1431600000	13	10	11	9	8	8	7	9	7	9	7	31.4	NaN	24.1	28.8	25.2	20.5	21.9	18.8	21.7	20.5	23.8	17.9	3.57147730389645	0.722450256347656	YER086W	YER086W
22.11286	20.05154	20.95031	22.58486	21.66839	22.56584	22.16048	21.62328	22.10904	19.55226					1.6742E-40	32810000	4	1	0	1	3	1	3	2	2	2	0	7.8	NaN	1.9	0	2.4	5.4	1.6	5.4	3.7	3.7	3.7	0	0.0665417429130929	-0.128587341308595	YER088C	YER088C
25.735	25.5451	26.23814	24.17043	26.41522	24.67422	24.95096	25.7263	24.32217	26.30027					1.1302E-146	510660000	9	4	4	6	3	6	3	4	3	3	7	28.4	NaN	12.7	14.4	19	8.2	19.8	7.5	10.8	10.1	8.8	20.3	0.347643999500029	0.425997924804687	YER089C	YER089C
26.71358	27.33722	27.10739	26.35639	27.18707	25.67317	26.23672	26.00928	26.82007	26.73789					3.1132E-129	1093400000	15	7	8	10	9	9	8	7	8	10	10	31	NaN	17.9	19.9	25	22.1	22.7	17.4	16.4	18.3	22.1	24.7	1.29209561046609	0.644905090332031	YER090W	YER090W
31.66679	31.83006	32.02891	31.94374	32.31335	31.70611	31.63201	31.91592	31.6143	31.89428					0	39239000000	39	26	25	27	28	32	28	27	27	29	31	59.6	NaN	39.2	42.2	41.3	46	48.2	47.1	45.4	44.7	47.3	49.7	0.845372171222324	0.20404586791992	YER091C	YER091C
26.66234	27.0403	26.73738	27.01329	27.02401	26.57311	25.58987	25.60857	25.42426	26.78594				+	7.9229E-65	990280000	4	2	3	3	3	3	3	3	2	2	4	26.8	NaN	16.6	22	21.5	22	22	22	22	16.6	16.6	26.8	1.80559997775125	0.899115753173827	YER094C	YER094C
22.53988	23.28207	22.63469	22.68573	18.61221	21.15338	20.87185	19.86447	21.78728	23.19275					6.7945E-20	47015000	3	2	2	1	1	0	1	1	0	1	2	13.5	NaN	7.8	9.5	5.8	5.8	0	4	4	0	3.8	9.5	0.234424869189366	0.576968765258787	YER095W	YER095W
