Intensity puf3a	Intensity puf3b	Intensity puf3c	Intensity puf3d	Intensity puf3e	Intensity wta	Intensity wtb	Intensity wtc	Intensity wtd	Intensity wte	Only identified by site	Reverse	Contaminant	t-test Significant	PEP	Intensity	Unique peptides	Unique peptides puf3a	Unique peptides puf3b	Unique peptides puf3c	Unique peptides puf3d	Unique peptides puf3e	Unique peptides wta	Unique peptides wtb	Unique peptides wtc	Unique peptides wtd	Unique peptides wte	Sequence coverage [%]	Peptide IDs	Sequence coverage puf3a [%]	Sequence coverage puf3b [%]	Sequence coverage puf3c [%]	Sequence coverage puf3d [%]	Sequence coverage puf3e [%]	Sequence coverage wta [%]	Sequence coverage wtb [%]	Sequence coverage wtc [%]	Sequence coverage wtd [%]	Sequence coverage wte [%]	-Log t-test p value	t-test Difference	Protein IDs	Majority protein IDs
#!{Type}E	E	E	E	E	E	E	E	E	E	C	C	C	C	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	T	T
#!{C:Group1}puf3	puf3	puf3	puf3	puf3	wt	wt	wt	wt	wt																																	
19.19716	19.26013	22.25153	19.16594	19.84977	22.55213	18.81285	22.49975	22.43548	18.96959					3.4057E-22	23691000	3	0	0	2	0	1	1	0	1	1	0	13	NaN	0	0	8.9	0	5.3	4.1	0	4.1	4.1	0	0.485381942364678	-1.10905151367188	YAL049C	YAL049C
23.89301	21.80191	24.06019	19.46961	24.146	18.70219	22.49692	19.88966	18.51122	21.16828					8.1979E-28	65263000	4	4	1	3	1	2	0	2	1	1	1	23.1	NaN	23.1	13.7	23.1	5.2	18.9	0	9.4	5.2	5.2	13.7	1.18202737610753	2.52049331665039	YAL059W	YAL059W
20.81308	19.35395	21.61518	19.81082	20.02594	21.99731	23.59172	19.18679	20.77724	22.33808					3.7599E-21	32236000	3	1	1	2	1	1	1	3	1	1	1	8.9	NaN	3.1	3.1	6.3	3.1	3.1	3.1	8.9	3.1	3.1	3.1	0.751712854647356	-1.25443534851074	YAL060W	YAL060W
21.64306	20.94835	19.34559	21.07712	22.32754	20.76725	21.48886	20.92839	20.96063	21.08699					1.8269E-13	23765000	1	1	1	0	1	1	1	1	1	1	1	5.5	724	5.5	5.5	0	5.5	5.5	5.5	5.5	5.5	5.5	5.5	0.0146783139813472	0.0219074249267557	YAR002C-A	YAR002C-A
23.84508	23.38126	25.61349	21.96835	24.17722	23.03128	23.7291	22.99619	24.01214	23.11035					1.5271E-54	157220000	8	4	3	5	1	4	3	3	3	4	2	21.2	NaN	10.8	7.4	16.5	3.5	11.3	9.3	9.5	8	11.9	4.8	0.284289443282732	0.421267700195312	YAR002W	YAR002W
23.84671	24.53706	24.20411	23.86212	23.99662	23.43797	21.62275	23.74273	21.20997	23.92062					1.1687E-25	137680000	6	2	5	3	2	2	2	2	3	1	3	13.2	NaN	3.9	10.8	5.8	3.9	3.9	3.9	3.9	6.3	2.3	5.8	1.25236841029641	1.30251884460449	YAR007C	YAR007C
26.76028	26.8197	26.39339	26.93146	26.80378	25.36336	25.9193	25.55935	25.72427	26.54573				+	5.2562E-71	874870000	10	8	7	6	8	6	4	5	4	5	6	37.9	NaN	32	29.7	24.8	32	26.1	20.9	20.9	14.1	24.2	25.2	2.48321255616971	0.91931953430176	YAR015W	YAR015W
22.23322	21.97281	18.98991	20.88316	20.73917	18.34008	18.45293	18.79716	18.61601	21.82641					1.0708E-09	16449000	4	2	2	0	1	1	0	0	0	0	2	4	NaN	2.6	1.7	0	0.7	0.7	0	0	0	0	1.4	1.10097838195015	1.75713424682617	YAR042W	YAR042W
27.31709	27.44727	23.76182	23.76395	27.44861	27.1947	27.06589	27.2115	27.28277	27.37857					6.2225E-17	1349100000	5	3	1	1	1	1	4	3	3	4	3	29	NaN	14.5	6.9	6.9	7.6	6.9	22.9	14.5	14.5	22.9	20.6	0.72049838551523	-1.27893905639649	YDR224C;YBL002W	YDR224C;YBL002W
26.34164	26.53931	26.19813	26.27688	26.31722	26.14826	25.88551	25.64974	25.71128	25.95533				+	7.1244E-37	733480000	3	1	3	1	1	1	1	1	1	1	1	33.3	NaN	22.7	33.3	17.4	22.7	22.7	17.4	22.7	17.4	17.4	22.7	2.64152206083283	0.464613723754884	YDR225W;YBL003C	YDR225W;YBL003C
